"Id","dg","de","des","f1","f2","f3","f4","cr1","cr2","cr3","s1","s2","s3","s4","e1","e2","e3","at1","at2","at3","sa1"
72,0,5,3,2,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,2
73,0,1,4,2,2,3,3,3,2,3,2,3,1,2,2,3,3,3,3,3,2
74,0,4,1,4,4,3,3,4,4,3,2,3,3,3,4,4,4,4,3,3,3
75,1,3,3,1,1,2,3,3,2,3,2,1,1,3,4,4,4,2,1,1,3
76,0,5,2,1,1,2,3,3,2,3,2,1,1,3,4,1,1,2,3,1,1
77,1,3,3,1,1,2,3,3,2,3,2,1,2,2,4,1,1,1,2,1,1
78,0,5,2,3,1,3,3,2,3,3,3,3,3,2,3,3,3,2,2,1,1
79,1,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
80,0,1,3,4,4,4,4,1,3,3,4,4,4,4,4,4,3,3,3,3,1
81,0,2,4,4,3,2,2,1,2,2,2,2,4,2,2,2,3,3,3,3,1
82,1,3,1,3,3,2,2,1,2,2,2,3,4,2,4,3,3,3,4,4,3
83,1,5,1,3,4,3,2,3,2,2,2,3,2,2,2,4,3,3,3,3,3
84,1,4,1,3,4,3,2,3,2,2,4,3,4,2,4,4,3,1,2,3,3
85,0,5,1,3,3,3,3,3,3,4,3,3,3,2,2,4,3,3,2,3,3
86,0,5,1,1,1,1,1,1,2,3,2,3,3,2,2,4,3,3,2,3,3
87,1,3,1,1,1,1,1,1,2,3,2,3,3,2,2,4,3,2,3,3,3
88,0,3,1,1,1,3,1,3,2,3,2,3,3,2,2,3,3,4,3,3,3
89,0,2,4,1,1,3,1,2,2,3,2,2,3,2,2,3,3,4,3,3,3
90,1,1,4,3,1,2,1,2,2,3,2,1,3,2,2,1,3,1,3,3,3
91,1,2,3,2,3,2,3,1,2,3,2,1,2,2,2,1,2,2,3,1,3
92,0,3,4,1,3,2,1,1,2,1,2,1,1,2,1,1,2,1,1,1,3
93,1,5,1,1,2,2,1,1,1,1,2,2,1,2,1,2,2,2,1,1,3
94,0,3,5,3,3,3,4,2,3,3,3,2,2,1,1,3,1,1,1,1,1
95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,1,2,2,2,2,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2
